rank_by_code_macro_at_100,run_label,run_id,started_at,ott_baseline,code_macro_recall_at_100,naive_vague,naive_branded,naive_specific,emu_generic,emu_ordinary,emu_specific,original,loo,use_vector,use_composite,use_facts,use_kg_context,triage,use_curated,config_json
28,grid_C0F1K0T1,143,2026-06-03T19:17:25.371109,False,0.670491242474001,0.6355363984674329,0.6580459770114943,0.6587643678160919,0.6508620689655172,0.6810344827586207,0.7112068965517241,0.6979885057471265,True,True,False,True,False,True,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": true, ""use_composite"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
29,exp3_facts_vec_cap_03,159,2026-06-03T21:13:46.268241,False,0.6691179920243959,0.6982758620689655,0.6114942528735632,0.6784072249589491,0.6336206896551724,0.6163793103448276,0.6896551724137931,0.7559934318555008,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.3, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
30,grid_C0F1K1T0,147,2026-06-03T19:37:23.952558,False,0.6646072796934865,0.6702107279693487,0.6214080459770115,0.6807471264367816,0.6336206896551724,0.646551724137931,0.6508620689655172,0.7488505747126437,True,True,False,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_composite"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
31,v2_plus_desc_vec,117,2026-06-03T17:35:29.132994,False,0.6639915161466886,0.6615900383141763,0.6214080459770115,0.6764367816091954,0.6422413793103449,0.646551724137931,0.6594827586206896,0.7402298850574712,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
32,all_legs_loo,148,2026-06-03T19:37:55.164862,False,0.6615831964969896,0.6484674329501916,0.6573275862068966,0.6626436781609195,0.6163793103448276,0.6422413793103449,0.6637931034482759,0.7402298850574712,True,True,,True,True,False,,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
33,exp2_off_kg_fts,166,2026-06-03T23:06:35.912852,False,0.6612205801860974,0.6615900383141763,0.610632183908046,0.6721264367816092,0.6336206896551724,0.6508620689655172,0.6508620689655172,0.7488505747126437,True,True,,True,False,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": false, ""use_kg_vec"": true, ""use_vector"": true}"
34,exp2_rrf_k120,156,2026-06-03T20:40:29.778799,False,0.6609537493158183,0.6805555555555556,0.6242816091954023,0.6376436781609195,0.6379310344827587,0.6508620689655172,0.6551724137931034,0.7402298850574712,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""rrf_k"": 120, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
35,all_legs_loo_no_curated,155,2026-06-03T20:20:42.497156,False,0.6602353585112206,0.6805555555555556,0.610632183908046,0.667816091954023,0.6336206896551724,0.6379310344827587,0.6508620689655172,0.7402298850574712,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
36,exp3_both_vec_caps_09,168,2026-06-03T23:28:07.986785,False,0.6590654077723044,0.6615900383141763,0.6214080459770115,0.6591954022988505,0.6336206896551724,0.646551724137931,0.6508620689655172,0.7402298850574712,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
37,exp2_off_facts_fts,164,2026-06-03T22:36:33.927044,False,0.6590038314176245,0.6719348659003831,0.610632183908046,0.667816091954023,0.6336206896551724,0.6379310344827587,0.6508620689655172,0.7402298850574712,True,True,,False,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
